dataset,model_label,k,recall
coco,$OpenCLIP_{\mathrm{Image}}$,74,97.58
coco,$OpenCLIP_{\mathrm{Image}}$,75,97.68
coco,$OpenCLIP_{\mathrm{Image}}$,76,97.74000000000001
coco,$OpenCLIP_{\mathrm{Image}}$,77,97.78
coco,$OpenCLIP_{\mathrm{Image}}$,78,97.82
coco,$OpenCLIP_{\mathrm{Image}}$,79,97.82
coco,$OpenCLIP_{\mathrm{Image}}$,80,97.86
coco,$OpenCLIP_{\mathrm{Image}}$,81,97.89999999999999
coco,$OpenCLIP_{\mathrm{Image}}$,82,97.96000000000001
coco,$OpenCLIP_{\mathrm{Image}}$,83,97.98
coco,$OpenCLIP_{\mathrm{Image}}$,84,98.0
coco,$OpenCLIP_{\mathrm{Image}}$,85,98.02
coco,$OpenCLIP_{\mathrm{Image}}$,86,98.04
coco,$OpenCLIP_{\mathrm{Image}}$,87,98.06
coco,$OpenCLIP_{\mathrm{Image}}$,88,98.14
coco,$OpenCLIP_{\mathrm{Image}}$,89,98.18
coco,$OpenCLIP_{\mathrm{Image}}$,90,98.18
coco,$OpenCLIP_{\mathrm{Image}}$,91,98.2
coco,$OpenCLIP_{\mathrm{Image}}$,92,98.24000000000001
coco,$OpenCLIP_{\mathrm{Image}}$,93,98.24000000000001
coco,$OpenCLIP_{\mathrm{Image}}$,94,98.26
coco,$OpenCLIP_{\mathrm{Image}}$,95,98.3
coco,$OpenCLIP_{\mathrm{Image}}$,96,98.34
coco,$OpenCLIP_{\mathrm{Image}}$,97,98.34
coco,$OpenCLIP_{\mathrm{Image}}$,98,98.4
coco,$OpenCLIP_{\mathrm{Image}}$,99,98.44000000000001
coco,$OpenCLIP_{\mathrm{Image}}$,100,98.5
coco,$UniIR_{\mathrm{Image}}$,1,50.82
coco,$UniIR_{\mathrm{Image}}$,2,63.519999999999996
coco,$UniIR_{\mathrm{Image}}$,3,69.92
coco,$UniIR_{\mathrm{Image}}$,4,74.4
coco,$UniIR_{\mathrm{Image}}$,5,77.32
coco,$UniIR_{\mathrm{Image}}$,6,79.67999999999999
coco,$UniIR_{\mathrm{Image}}$,7,81.54
coco,$UniIR_{\mathrm{Image}}$,8,83.28
coco,$UniIR_{\mathrm{Image}}$,9,84.78
coco,$UniIR_{\mathrm{Image}}$,10,85.78
coco,$UniIR_{\mathrm{Image}}$,11,86.83999999999999
coco,$UniIR_{\mathrm{Image}}$,12,88.0
coco,$UniIR_{\mathrm{Image}}$,13,88.72
coco,$UniIR_{\mathrm{Image}}$,14,89.44
coco,$UniIR_{\mathrm{Image}}$,15,90.2
coco,$UniIR_{\mathrm{Image}}$,16,90.78
coco,$UniIR_{\mathrm{Image}}$,17,91.12
coco,$UniIR_{\mathrm{Image}}$,18,91.53999999999999
coco,$UniIR_{\mathrm{Image}}$,19,92.0
coco,$UniIR_{\mathrm{Image}}$,20,92.32000000000001
coco,$UniIR_{\mathrm{Image}}$,21,92.74
coco,$UniIR_{\mathrm{Image}}$,22,93.0
coco,$UniIR_{\mathrm{Image}}$,23,93.38
coco,$UniIR_{\mathrm{Image}}$,24,93.84
coco,$UniIR_{\mathrm{Image}}$,25,94.14
coco,$UniIR_{\mathrm{Image}}$,26,94.36
coco,$UniIR_{\mathrm{Image}}$,27,94.67999999999999
coco,$UniIR_{\mathrm{Image}}$,28,94.96
coco,$UniIR_{\mathrm{Image}}$,29,95.17999999999999
coco,$UniIR_{\mathrm{Image}}$,30,95.36
coco,$UniIR_{\mathrm{Image}}$,31,95.52000000000001
coco,$UniIR_{\mathrm{Image}}$,32,95.66
coco,$UniIR_{\mathrm{Image}}$,33,95.82000000000001
coco,$UniIR_{\mathrm{Image}}$,34,96.0
coco,$UniIR_{\mathrm{Image}}$,35,96.2
coco,$UniIR_{\mathrm{Image}}$,36,96.36
coco,$UniIR_{\mathrm{Image}}$,37,96.5
coco,$UniIR_{\mathrm{Image}}$,38,96.66
coco,$UniIR_{\mathrm{Image}}$,39,96.82
coco,$UniIR_{\mathrm{Image}}$,40,96.96000000000001
